,min_spectro_db,max_spectro_db,filename
190,-38.9082,41.0918,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
191,-38.31803,41.68197,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
192,-39.38401,40.61599,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
193,-41.731712,38.268288,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
194,-40.754707,39.245293,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
195,-40.69176,39.30824,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
196,-38.769928,41.230072,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
197,-40.14322,39.85678,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
198,-41.481224,38.518776,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
199,-41.553844,38.446156,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
200,-41.602448,38.397552,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
201,-38.262344,41.737656,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
202,-40.33263,39.66737,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
203,-41.14444,38.85556,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
204,-40.44291,39.55709,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
205,-38.083946,41.916054,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
206,-38.32766,41.67234,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
207,-38.64584,41.35416,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
208,-39.505943,40.494057,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
209,-39.343777,40.656223,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
210,-41.568436,38.431564,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
211,-42.21397,37.78603,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
212,-42.587177,37.412823,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
213,-39.30469,40.69531,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
214,-41.362736,38.637264,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
215,-40.690094,39.309906,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
216,-38.92435,41.07565,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
217,-44.13035,35.86965,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
218,-41.854805,38.145195,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
219,-43.300053,36.699947,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
220,-40.76959,39.23041,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
221,-41.8494,38.1506,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
222,-39.195534,40.804466,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
223,-40.88094,39.11906,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
224,-39.67382,40.32618,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
225,-42.707222,37.292778,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
226,-39.459232,40.540768,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
227,-39.52078,40.47922,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
228,-40.606686,39.393314,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
229,-38.761173,41.238827,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
230,-40.69747,39.30253,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
231,-46.255917,33.744083,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
232,-38.08629,41.91371,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
233,-42.659115,37.340885,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
234,-39.082054,40.917946,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
